username,date,rawContent,replyCount,retweetCount,likeCount,hashtags,mentionUsers,viewCount
gersintos,2023-10-11 01:41:21+00:00,@guss_marro @traficogt Yo estoy super surrado de la crisis económica que se nos viene. De la híper inflación que no se cancelará con vuvuzelas y unión. Haber qué pasa,0,0,0,,"guss_marro, traficogt",77.0
traficogt,2023-10-11 01:38:15+00:00,No potenciaron a la oposición.  Empoderaron al pueblo que merece que se respete su voluntad.,1,8,37,,,3227.0
AmbMcFarland,2023-10-11 01:13:35+00:00,"Tambalea Giammattei. Se le nota más preocupado y menos convincente. Cuatro años de ineficiencia, indiferencia, y corrupción le dejan pocas cartas; sus malos cálculos y arrogancia potenciaron a la oposición.",97,520,1540,,,131352.0
traficogt,2023-10-11 01:31:30+00:00,"Ya sin pajas... Vale la pena parar el país por esos 4?

Deben tener una diarrea monumental pensando que se filtren las cosas que tiene la coni grabadas.",6,9,71,,,6706.0
Clarette_en,2023-10-11 01:18:39+00:00,"@traficogt Yo vivo en chimaltenango, lo que están viendo es el pueblo y las fuerzas policiales unidas por la misma causa. TODOS SOMOS GUATEMALA! Que linda sos mi Guatemala 💜🫶🏻",0,0,2,,traficogt,66.0
a_saenz50,2023-10-11 01:11:52+00:00,@cmendeza @traficogt @CC_Guatemala @msemillagt @aizenstatd @Alex_balsells Según los medios son varios partidos con posibles ilegalidades en su inscripción que ameritan cancelación,0,0,0,,"cmendeza, traficogt, CC_Guatemala, msemillagt, aizenstatd, Alex_balsells",73.0
traficogt,2023-10-11 01:06:55+00:00,Que viva Guate!!!,4,26,156,,,22975.0
foppaguate,2023-10-11 00:37:53+00:00,"En Chimaltenango la población enfrento a los FEPs y el Ejercito, los contuvo, los escoltó hasta la comisaría donde llegaron sanos y salvos, izaron la bandera y cantaron juntos con los PNCs el himno de Guatemala.
El parque lleno y todos entonando el himno más hermoso del mundo. 🫠 https://t.co/FeB8VRLvYE",169,1704,5405,,,397006.0
Jfervalle,2023-10-11 01:03:15+00:00,@Fenanu @traficogt Y bien bendecidos por el Opus,0,0,1,,"Fenanu, traficogt",398.0
traficogt,2023-10-11 01:00:09+00:00,"Tendrán alguna otra gran idea boby y cía?   Podrán mantener consciente a giamattein para otra cadena?  Sabrán cuántas grabaciones tiene la cony de ellos?

Tantas cosas que deben pasar por la mente en los de la mara del helicóptero.",0,3,10,,,2057.0
LukassGTM,2023-10-11 00:55:44+00:00,@traficogt @LuisvonAhn @DrGiammattei Que se vuelva colaborador eficaz y se caga en todos,0,0,0,,"traficogt, LuisvonAhn, DrGiammattei",10.0
traficogt,2023-10-11 00:55:30+00:00,"Recuerden: CASACA le gana al brincón.

Nunca generemos violencia.  Dialoguemos, despejemos el paso y después de un tiempo, regresemos! 

#ParoNacionaIndefinido",0,6,23,ParoNacionaIndefinido,,3999.0
VctorHe19153891,2023-10-11 00:49:06+00:00,@Factor4_GT @traficogt @MPguatemala Deberían aplicarla.,0,0,0,,"Factor4_GT, traficogt, MPguatemala",68.0
traficogt,2023-10-11 00:48:47+00:00,"La población en general en este momento quiere ver un acto de buena voluntad de parte del cacif.   

Que tal colasos gratis en el montón de helicópteros que usaron ayer??",1,8,44,,,2890.0
cbrolo11,2023-10-11 00:45:54+00:00,@Fenanu @traficogt Y no es mentira,0,0,1,,"Fenanu, traficogt",437.0
IoVittor,2023-10-11 00:45:28+00:00,@traficogt Esto no es derecho? https://t.co/FeJ2bgWLx2,0,0,0,,traficogt,5.0
traficogt,2023-10-11 00:42:51+00:00,"Nunca generar violencia.  

Hay que dialogar, dejar pasar y luego de un tiempo retomar la protesta.",3,14,73,,,6327.0
QuorumGT,2023-10-11 00:40:55+00:00,"✊Aunque no era su barrio, Paolo García dejó su colonia y se sumó hoy para apoyar la resistencia de las y los vecinos de la colonia Bethania. Esto nos dijo:

🎥 @pialaperiodista

#ParoNacional #ConsueloPorras #GuatemalaResiste https://t.co/962xeZPyC0",43,484,1372,"ParoNacional, ConsueloPorras, GuatemalaResiste",PiaLaPeriodista,55399.0
traficogt,2023-10-11 00:41:25+00:00,@AlcaldeQuinonez Dígale al boby que lo que se regala no se quita.,0,0,0,,AlcaldeQuinonez,18.0
muniguate,2023-10-10 14:27:55+00:00,"⚠️ - COMUNICADO - ⚠️
INDIGNANTES DAÑOS AL PORTAL DE LA SEXTA

Rechazamos enérgicamente los actos violentos de vandalismo que tuvieron lugar en el #PortalDeLaSexta, destruido e incendiado sin razón por un grupo reducido de personas infiltradas con rostros cubiertos durante una manifestación pacifica y quienes impidieron que los cuerpos de bomberos controlaran el incendio provocado.

¡Estos delitos no serán pasados por alto!

Nuestro país atraviesa un momento en el que es necesario permanecer unidos, enfocados en una misma misión que es el bienestar de la población.",752,136,537,PortalDeLaSexta,,153247.0
